First_name,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Total_Fights,Win_Percentage
Carmelo,Marrero,The Fury,182.88,205,73,right-handed,14,5,0,19,0.736842105
John,Marsh, ,182.88,265,NA,right-handed,8,7,0,15,0.533333333
Eliot,Marshall,Fire,187.96,205,77,right-handed,10,4,0,14,0.714285714
Doug,Marshall,The Rhino,177.8,205,NA,right-handed,13,5,0,18,0.722222222
Jack,Marshman,The Hammer,182.88,185,73,right-handed,22,8,0,30,0.733333333
Terry,Martin, ,172.72,185,71,right-handed,22,9,0,31,0.709677419
Anthony Rocco,Martin, ,182.88,170,73,right-handed,15,4,0,19,0.789473684
Rainy,Martinez, ,182.88,199,NA,right-handed,0,2,0,2,0
Danny,Martinez,The Gremlin,167.64,125,67,right-handed,18,7,0,25,0.72
Wagner da Conceicao,Martins,Zuluzinho,200.66,390,NA,right-handed,8,7,0,15,0.533333333
Bristol,Marunde, ,185.42,170,71,right-handed,12,9,0,21,0.571428571
Shoji,Maruyama, ,170.18,139,NA,right-handed,10,7,1,18,0.583333333
Jameel,Massouh, ,177.8,145,72,right-handed,26,9,0,35,0.742857143
Tiffany,Masters,Rainbow Renegade,160.02,115,65,right-handed,2,1,0,3,0.666666667
Jorge,Masvidal,Gamebred,180.34,170,74,right-handed,32,13,0,45,0.711111111
Tateki,Matsuda,Tech,170.18,125,65,right-handed,10,7,0,17,0.588235294
Daijiro,Matsui, ,175.26,200,NA,right-handed,12,24,5,41,0.353658537
Naoki,Matsushita, ,167.64,155,NA,right-handed,12,15,11,38,0.460526316
Jake,Matthews,The Celtic Kid,180.34,170,73,right-handed,14,4,0,18,0.777777778
Claudio,Mattos,Popeye,NA,185,NA,right-handed,5,4,0,9,0.555555556
John,Matua, ,187.96,400,NA,right-handed,1,4,0,5,0.2
Vladimir,Matyushenko,The Janitor,182.88,205,74,right-handed,26,7,0,33,0.787878788
Elaina,Maxwell,Beef,172.72,145,NA,right-handed,6,4,0,10,0.6
Don'Tale,Mayes,King Kong,198.12,260,82,right-handed,4,2,0,6,0.666666667
Gray,Maynard, ,175.26,155,70,right-handed,14,8,1,23,0.630434783
Scott,McAfee, ,172.72,155,NA,right-handed,10,4,0,14,0.714285714
Bobby,McAndrews, ,NA,NA,NA,right-handed,1,3,0,4,0.25
